,Angle,Range,TimeofFlight,MaximumHeight
0,1,35.61173132908262,0.35617155994456146,0.15540127063884437
1,2,71.18007524910745,0.7122346265816524,0.6214157500448347
2,3,106.66169721189128,1.0680807396519147,1.397475671358842
3,4,142.01336832659737,1.4236015049821489,2.482635525109613
4,5,177.19201802747992,1.7786886275032279,3.8755732111714134
5,6,212.154786548734,2.133233944237826,5.574591649539377
6,7,246.8590771425181,2.4871294572479075,7.577620847960082
7,8,281.26260797652975,2.8402673665319473,9.882220423898248
8,9,315.3234636479055,3.1925401028618543,12.485582577766946
9,10,349.00014625068235,3.5438403605495985,15.384535513798877
10,11,382.251625934604,3.8940611301335673,18.57554730439097
11,12,415.0373908936736,4.243095730974679,22.05473019321405
12,13,447.3174967235483,4.590837843752347,25.817845331845152
13,14,479.05261508764363,4.937181542850362,29.860307944151295
14,15,510.20408163265296,5.282021328622871,34.177192912132995
15,16,540.7339430951071,5.625252159530595,38.76324077642194
16,17,570.6050035415784,5.966769484137484,43.61286414412202
17,18,599.7808696861971,6.306469272958109,48.720154496186865
18,19,628.2259952302634,6.644248050146054,54.07888938604031
19,20,655.9057241699379,6.980002925013646,59.682540020668846
20,21,682.786333019243,7.313631623373475,65.52427921495045
21,22,708.8350718969359,7.645032518692082,71.59698970952776
22,23,734.0202044271949,7.974104663046402,77.89327284209251
23,24,758.3110464055042,8.300747817873471,84.40545756151572
24,25,781.6780031826306,8.62486248450407,91.12560977384202
25,26,804.0926057211449,8.946349934470966,98.04554200876062
26,27,825.5275452805586,9.265112239582587,105.15682339477722
27,28,845.956706688818,9.581052301752873,112.45078993093195
28,29,865.3552001596183,9.894073882578306,119.91855504254976
29,30,883.699391616774,10.20408163265306,127.55102040816321
30,31,900.9669314887009,10.51098112061335,135.3388870444156
31,32,917.1367819379254,10.814678861902141,143.2726666354394
32,33,932.1892424924498,11.11508234724545,151.34269309290806
33,34,946.1059740477422,11.412100070831569,159.53913433267556
34,35,958.8700212101105,11.705641558184613,167.8520042536559
35,36,970.4658329542383,11.995617393723942,176.27117490435015
36,37,980.8792815697132,12.281939248000983,184.78638882219406
37,38,990.0976798734657,12.56451990460527,193.38727153069695
38,39,998.1097966671485,12.843273286731375,202.06334417914297
39,40,1004.9058704206203,13.11811448339876,210.80403630945648
40,41,1010.4776211648675,13.388959775316472,219.5986987346771
41,42,1014.8182605798708,13.655726660384861,228.4366165133537
42,43,1017.9225002651267,13.9183338788265,237.30702200404966
43,44,1019.7865581827507,14.176701437938718,246.19910798405576
44,45,1020.408163265306,14.430750636460154,255.1020408163265
45,46,1019.7865581827507,14.680404088543899,264.0049736485972
46,47,1017.9225002651267,14.92558574733001,272.8970596286034
47,48,1014.8182605798708,15.166220928110084,281.7674651192993
48,49,1010.4776211648675,15.40223633107698,290.60538289797586
49,50,1004.9058704206203,15.633560063652613,299.40004532319654
50,51,998.1097966671485,15.860121662387156,308.14073745350987
51,52,990.0976798734657,16.081852114422897,316.8168101019561
52,53,980.8792815697132,16.29868387851618,325.41769281045896
53,54,970.4658329542383,16.510550905611172,333.9329067283029
54,55,958.8700212101105,16.717388658959013,342.352077378997
55,56,946.1059740477422,16.91913413377636,350.6649472999776
56,57,932.1892424924498,17.11572587643722,358.86138853974484
57,58,917.1367819379254,17.307104003192368,366.9314149972137
58,59,900.966931488701,17.493210218410454,374.8651945882374
59,60,883.699391616774,17.67398783233548,382.65306122448976
60,61,865.3552001596183,17.849381778355013,390.28552659010325
61,62,845.956706688818,18.019338629774015,397.75329170172097
62,63,825.5275452805586,18.183806616089136,405.0472582378756
63,64,804.0926057211449,18.34273563875851,412.1585396238924
64,65,781.6780031826306,18.496077286462242,419.078471858811
65,66,758.3110464055043,18.643784849848995,425.79862407113717
66,67,734.0202044271953,18.785813335764086,432.3108087905605
67,68,708.8350718969358,18.922119480954844,438.60709192312527
68,69,682.7863330192431,19.052661765249013,444.6798024177026
69,70,655.9057241699383,19.177400424202208,450.5215416119841
70,71,628.2259952302636,19.296297461210546,456.1251922466127
71,72,599.7808696861972,19.409316659084762,461.4839271364661
72,73,570.6050035415784,19.516423591082354,466.5912174885309
73,74,540.7339430951071,19.617585631394263,471.44084085623115
74,75,510.20408163265296,19.712771965083025,476.02688872052
75,76,479.0526150876439,19.801953597469314,480.3437736885017
76,77,447.31749672354823,19.885103362963985,484.3862363008079
77,78,415.0373908936739,19.96219593334297,488.1493514394388
78,79,382.2516259346043,20.03320782546253,491.6285343282621
79,80,349.0001462506825,20.098117408412406,494.81954611885413
80,81,315.32346364790556,20.156904910104853,497.71849905488614
81,82,281.26260797653026,20.209552423297353,500.32186120875474
82,83,246.8590771425181,20.25604391104739,502.626460784693
83,84,212.154786548734,20.296365211597415,504.6294899831137
84,85,177.19201802747986,20.330504042688684,506.3285084214817
85,86,142.01336832659769,20.358450005302533,507.72144610754333
86,87,106.66169721189155,20.380194586828036,508.8066059612942
87,88,71.18007524910767,20.395731163655014,509.5826658826082
88,89,35.611731329082346,20.40505500319166,510.0486803620143
